LLM,Metric,Method,Rank,Mean,Std,IQR,n_runs
google_flan-t5-xl,R2,llm_pilot,6,0.4966545772262733,0.0233600868538761,0.02883981289590226,30
google_flan-t5-xl,R2,lr,6,0.2924092854841396,0.006583724459332355,0.011136638392603093,30
google_flan-t5-xl,R2,nn,5,0.4550616288285963,0.021345170556591787,0.028609147604527096,30
google_flan-t5-xl,R2,rf,4,0.6485849624173905,0.021611615282576237,0.036212864599878714,30
google_flan-t5-xl,R2,ridge,7,0.29240930939250603,0.00658375430788267,0.011137205360276958,30
google_flan-t5-xl,R2,dcpl_gate_lr,2,0.6582130146068568,0.015512967198752699,0.021481009712965515,30
google_flan-t5-xl,R2,dcpl_gate_nn,3,0.6635559199071911,0.015509386121528999,0.021094670800532955,30
google_flan-t5-xl,R2,dcpl_gate_rf,3,0.6383407948080015,0.01839063311536739,0.02947000305735159,30
google_flan-t5-xl,R2,dcpl_gate_ridge,1,0.6582130160421494,0.015512968139754717,0.02148100942702913,30
google_flan-t5-xl,MAE,DaL,7,154.2757321235739,11.109560260900023,13.049853627540472,30
google_flan-t5-xl,MAE,llm_pilot,6,108.00898266528687,1.4265971011800276,1.8670101413294589,30
google_flan-t5-xl,MAE,lr,6,141.42877700723247,1.2723176448649165,2.0332179707549756,30
google_flan-t5-xl,MAE,nn,5,111.04561968780773,3.066589747108009,3.0514659932825907,30
google_flan-t5-xl,MAE,rf,1,85.30217751700694,1.1043320727100692,1.0754830114537128,30
google_flan-t5-xl,MAE,ridge,4,141.4281299861919,1.272322268879281,2.033232899672754,30
google_flan-t5-xl,MAE,dcpl_gate_lr,4,85.77976519389864,1.0319878696694815,1.1594415944028782,30
google_flan-t5-xl,MAE,dcpl_gate_nn,4,84.62622744963512,1.9518260422861051,2.7252831418606434,30
google_flan-t5-xl,MAE,dcpl_gate_rf,3,85.85766359058333,1.017961164488447,1.158340744146571,30
google_flan-t5-xl,MAE,dcpl_gate_ridge,2,85.77976057377317,1.0319874107537221,1.1594752636539312,30
google_flan-t5-xl,RMSE,DaL,8,405.14806884231274,7.208022739777011,6.2943724828458585,30
google_flan-t5-xl,RMSE,llm_pilot,6,308.32943210062433,11.065757024558888,14.860280379450785,30
google_flan-t5-xl,RMSE,lr,6,365.78982726494553,14.184205889953033,18.241995917978272,30
google_flan-t5-xl,RMSE,nn,5,320.857400968288,11.429684775432063,16.368462271278304,30
google_flan-t5-xl,RMSE,rf,4,257.4813450581781,8.119765257846838,8.04575776554762,30
google_flan-t5-xl,RMSE,ridge,7,365.789822737301,14.18425147624074,18.242107312428345,30
google_flan-t5-xl,RMSE,dcpl_gate_lr,2,254.0395095800997,8.013156470061192,10.81034083672614,30
google_flan-t5-xl,RMSE,dcpl_gate_nn,3,252.0429142298439,8.023997316162797,11.261775545541525,30
google_flan-t5-xl,RMSE,dcpl_gate_rf,3,261.3094263175125,8.98653533980829,13.307244002150725,30
google_flan-t5-xl,RMSE,dcpl_gate_ridge,1,254.0395090292672,8.013156435212919,10.810343487041138,30
google_flan-t5-xl,MRE,DaL,8,585.4423682782069,103.99056216949798,147.946649853076,30
google_flan-t5-xl,MRE,llm_pilot,6,203.06628253134488,10.52644819942133,11.585367910934451,30
google_flan-t5-xl,MRE,lr,6,389.621904395419,8.681117539674126,9.758867660290036,30
google_flan-t5-xl,MRE,nn,5,155.43213497984007,10.943698080255139,13.89850378035527,30
google_flan-t5-xl,MRE,rf,1,127.61539189215729,1.846028762759344,2.9213511294384773,30
google_flan-t5-xl,MRE,ridge,7,389.6153197535937,8.680940165468307,9.758769283112429,30
google_flan-t5-xl,MRE,dcpl_gate_lr,4,132.57453155441127,2.7004374751622717,2.8304779066554033,30
google_flan-t5-xl,MRE,dcpl_gate_nn,4,137.6935859022984,18.33034210274904,23.21197629138088,30
google_flan-t5-xl,MRE,dcpl_gate_rf,2,128.86908830375813,1.8840005225323018,2.6971330388977464,30
google_flan-t5-xl,MRE,dcpl_gate_ridge,3,132.57448916642048,2.7003812108095446,2.8303592124394186,30
google_flan-t5-xxl,R2,DaL,5,0.12464635356568256,0.05887020245162987,0.05670562109888733,30
google_flan-t5-xxl,R2,llm_pilot,5,0.49249886092967476,0.027706655904679935,0.03474174075781855,30
google_flan-t5-xxl,R2,lr,5,0.29172139726132335,0.010853543720233306,0.010743047786593074,30
google_flan-t5-xxl,R2,nn,4,0.43718754929003834,0.025542050278484357,0.035820628808704846,30
google_flan-t5-xxl,R2,rf,4,0.6339536959384634,0.032677991174428746,0.039236707309646346,30
google_flan-t5-xxl,R2,ridge,6,0.2917212892189755,0.010853534835126508,0.010742937977664457,30
google_flan-t5-xxl,R2,dcpl_gate_lr,2,0.6527502909702584,0.021836236900750355,0.027163221220103173,30
google_flan-t5-xxl,R2,dcpl_gate_nn,3,0.6546116509567063,0.020736555036601118,0.02592219703474874,30
google_flan-t5-xxl,R2,dcpl_gate_rf,3,0.6338736882011811,0.02812498424984527,0.03659903294641653,30
