per_model_file,target,cv,learner,framework,R2,MAE,RMSE,MRE
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,split80_20,rf_light,dice,0.4312943834661981,116.7925615800135,309.70982192830166,339.11411012172476
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,split80_20,ridge,dice,0.2760273392981353,133.94784218999123,349.6400279189353,390.083714021215
data_google_flan-ul2,Target_throughput_tokens_per_sec,split80_20,lr,baseline,0.2696311192921478,119.79498192141382,319.600340566797,290.22054399605287
data_google_flan-ul2,Target_throughput_tokens_per_sec,split80_20,nn,baseline,0.45876639914045625,100.42654587563517,275.00502207919186,281.4909477815483
data_google_flan-ul2,Target_throughput_tokens_per_sec,split80_20,rf_light,baseline,0.4331971777328262,100.36856081874602,281.4154193734555,250.89867031923202
data_google_flan-ul2,Target_throughput_tokens_per_sec,split80_20,ridge,baseline,0.2696314017951819,119.79423358692871,319.600286972574,290.21890610384304
data_google_flan-ul2,Target_throughput_tokens_per_sec,split80_20,lr,dice,0.2814183510057811,116.61420960102474,316.9820152366609,273.57067165838663
data_google_flan-ul2,Target_throughput_tokens_per_sec,split80_20,nn,dice,0.4583191187581132,100.69467327151726,275.15362484284816,271.14578421247137
data_google_flan-ul2,Target_throughput_tokens_per_sec,split80_20,rf_light,dice,0.4330233359508021,100.39822721223324,281.4576755353853,250.98770084015544
data_google_flan-ul2,Target_throughput_tokens_per_sec,split80_20,ridge,dice,0.2814186567971203,116.61415156341292,316.98195164022343,273.5710461327134
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,split80_20,lr,baseline,0.19147034652732142,304.5463746070625,686.6911142464961,821.889122441127
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,split80_20,nn,baseline,0.32912735647546837,281.79514444087283,625.2783382173955,1151.9172646173342
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,split80_20,rf_light,baseline,0.32364244089478655,276.00852034692133,627.394893775757,903.7946608306527
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,split80_20,ridge,baseline,0.1914711047629857,304.5446485508807,686.6908931620006,821.9464825895011
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,split80_20,lr,dice,0.205686285620599,300.7884499456534,680.5421858995718,920.4608944014004
