model_tag,target,experiment,learner,cv,R2_mean,R2_std,R2_median,R2_min,R2_max,RMSE_mean,RMSE_std,RMSE_median,RMSE_min,RMSE_max,ΔR2_mean,ΔR2_std,ΔR2_median,ΔR2_min,ΔR2_max,ΔRMSE_mean,ΔRMSE_std,ΔRMSE_median,ΔRMSE_min,ΔRMSE_max,ΔR2_improve_mean,ΔR2_improve_std,ΔR2_improve_median,ΔR2_improve_min,ΔR2_improve_max,ΔRMSE_improve_mean,ΔRMSE_improve_std,ΔRMSE_improve_median,ΔRMSE_improve_min,ΔRMSE_improve_max
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.6358012420241691,0.022046963210516912,0.6317490697337971,0.5965098528811643,0.686428263827636,247.83475942383336,11.669572300162836,247.1871775264833,227.33968535554052,273.03818701641535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.6357971057421867,0.022042721197652302,0.6317484024532614,0.5965044776040154,0.686426190744692,247.8362151822074,11.668721611802399,247.1930356097954,227.35319832084863,273.0360613402156,-4.136281982403123e-06,2.0742797720560353e-05,-3.0337376538125405e-06,-7.900038993347014e-05,5.012262479975327e-05,0.001455758374051643,0.006957407647560482,0.0010721270011657,-0.0168279694374575,0.02616645947964,-4.136281982403123e-06,2.0742797720560353e-05,-3.0337376538125405e-06,-7.900038993347014e-05,5.012262479975327e-05,-0.0014557583740507122,0.006957407647560994,-0.0010721270011515571,-0.026166459479640025,0.01682796943745757
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.6358654995158193,0.023041434403532617,0.6324227411678766,0.5887457369873185,0.6887644378264828,247.8000103685139,11.822963390706354,246.8357399319002,227.36957415089455,272.8487172163454,6.425749165003903e-05,0.0020435581885099594,0.0002557405612193,-0.0085991903843447,0.0031126978132551,-0.03474905531945183,0.6631985796870118,-0.0844799225436645,-1.040612332496096,2.7171449666109027,6.42574916500512e-05,0.0020435581885099928,0.00025574056121935307,-0.008599190384344757,0.003112697813255183,0.03474905531945183,0.6631985796870106,0.08447992254366454,-2.7171449666109027,1.0406123324960959
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.6531645154122987,0.02235942301457341,0.652789564888818,0.6127301880432496,0.705669814946974,241.78562766001093,10.453708816618986,240.38018364527872,221.42541014599695,263.5926296896749,0.01736327338812956,0.009054678937362233,0.0188803079359678,-0.012606465108672,0.0322668952917529,-6.0491317638224125,3.133099523690177,-6.347320814741849,-11.88606672053018,3.961796262866585,0.017363273388129596,0.009054678937362238,0.018880307935967844,-0.012606465108672027,0.03226689529175297,6.049131763822415,3.1330995236901806,6.347320814741892,-3.961796262866585,11.88606672053018
data_google_flan-ul2,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.635751900385306,0.05127591651196609,0.6424697044947232,0.4151759133736407,0.6864663819562109,224.99322664920547,14.889654831935825,220.6260889281795,205.7548504042874,279.3850229954498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_google_flan-ul2,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.6357403152261056,0.05129475702268012,0.642463581775566,0.415059200113088,0.6864921581830257,224.99645848814026,14.893002963311945,220.63007496293406,205.75845876984496,279.4129000194994,-1.1585159200269775e-05,3.752579647959408e-05,-7.164040627838375e-06,-0.0001167132605526,5.396736210794284e-05,0.0032318389347655587,0.011004354827537758,0.00210093496549745,-0.0185548826465264,0.0286842721775713,-1.1585159200272477e-05,3.7525796479601915e-05,-7.164040627838375e-06,-0.00011671326055268105,5.396736210794284e-05,-0.003231838934769371,0.01100435482753807,-0.0021009349655116694,-0.028684272177599723,0.018554882646526494
data_google_flan-ul2,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.6361135727150801,0.0526801989020182,0.6448222407437579,0.412246213321042,0.6859799764005489,224.85081598208555,15.28405130039321,220.6014818741499,205.8741541900443,280.0839440895743,0.0003616723297740767,0.00318310779556594,-0.00034073715291215,-0.0059864043935558,0.0088298103369695,-0.14241066711991265,1.017703052631556,0.09885326247605515,-3.0561341118219616,1.9613443731130928,0.00036167232977407095,0.0031831077955659743,-0.0003407371529122183,-0.0059864043935558,0.008829810336969501,0.1424106671199136,1.0177030526315587,-0.09885326247605519,-1.9613443731130928,3.0561341118219616
data_google_flan-ul2,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.6357708522711107,0.05469397620574705,0.6456631489148374,0.4104303365658044,0.689537282803075,224.9042455908341,15.735822971248654,219.62752983970947,206.00997005246077,280.51627282141015,1.8951885804689966e-05,0.0074067324928319515,0.0011692906221611,-0.0280098729710979,0.0109864795410516,-0.08898105837139478,2.249407278430716,-0.37215114112517256,-3.325980735007164,8.180948857193698,1.8951885804707747e-05,0.007406732492831989,0.0011692906221611454,-0.028009872971097916,0.010986479541051697,0.08898105837139288,2.2494072784307173,0.37215114112515835,-8.180948857193698,3.325980735007164
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.4381929904594502,0.042146748161776576,0.4408769851399343,0.3542381275050799,0.5086378271607774,572.0550042307966,37.04249396032014,577.3284688139024,503.1859011325826,637.8655372848092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.4382348003557335,0.04214300552516101,0.4409264116136294,0.3542832933585494,0.508697640882216,572.0335955129835,37.04133392619664,577.3239155890449,503.24207763507735,637.8770392659807,4.180989628331537e-05,0.00013429026470448223,1.8910909369673767e-05,-0.000129091457656,0.0005002460681287,-0.021408717813109955,0.06545561164525425,-0.01029807460520255,-0.2225999311483519,0.0612955171333169,4.180989628330504e-05,0.0001342902647044994,1.8910909369701523e-05,-0.00012909145765599428,0.0005002460681287069,0.021408717813109965,0.06545561164525428,0.0102980746052026,-0.061295517133316935,0.22259993114835197
