Workload_smpnum,Workload_reqnum,Workload_num_users,Workload_requests,records,NonAI_n_gpus,Workload_n_input_tokens,Workload_n_output_tokens,AI_model_is_flash_attention,AI_model_n_parameters,AI_model_is_encoder_decoder,AI_model_n_positions,AI_model_n_heads,AI_model_n_layers,AI_model_relative_attention_max_distance,AI_model_relative_attention_n_buckets,AI_model_vocabulary_size,NonAI_gpu_n_tensor_cores,NonAI_gpu_n_rt_cores,NonAI_gpu_n_cuda_cores,NonAI_gpu_n_sms,NonAI_gpu_n_rops,NonAI_gpu_n_tmus,NonAI_gpu_tflops_cuda_mixed,NonAI_gpu_tflops_cuda_fp32,NonAI_gpu_tflops_cuda_fp64,NonAI_gpu_tflops_tc_bf16,NonAI_gpu_tflops_tc_fp16,NonAI_gpu_tflops_tc_fp32,NonAI_gpu_tflops_tc_tf32,NonAI_gpu_tflops_tc_fp64,NonAI_gpu_memory_capacity_gb,NonAI_gpu_memory_bandwidth,NonAI_gpu_system_interface_gen,NonAI_gpu_compute_capability,NonAI_gpu_is_sxm,NonAI_gpu_is_nvlink,NonAI_gpu_n_gpus,NonAI_gpu_memory_capacity_gb_total,Workload_sequence_length,AI_model_torch_dtype_num,Target_latency_ms
490,51,64,1,1.0,4,11.0,5.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,16.0,1,589.0
564,69,64,1,1.0,4,84.0,20.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,104.0,1,1053.0
715,28,8,1,1.0,2,20.0,1.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,0,0,2,48,21.0,1,115.0
380,1,64,1,1.0,2,216.0,50.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,2,80,266.0,1,7159.0
10,80,4,1,1.0,1,563.0,9.0,0,20.0,1,512.0,16,32,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,572.0,0,488.0
540,17,32,1,1.0,4,140.0,5.0,0,20.0,1,512.0,16,32,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,145.0,0,575.0
575,6,128,1,1.0,4,86.0,20.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,640,0,5120,80,128,320,120.0,14.0,7.0,-1.0,112.0,-1.0,-1.0,-1.0,16,900,3,7.0,0,0,4,64,106.0,2,16827.0
900,109,32,1,1.0,4,67.0,6.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,73.0,1,296.0
234,31,128,1,1.0,2,457.0,25.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,2,80,482.0,2,6030.0
846,84,32,1,1.0,4,140.0,6.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,146.0,1,335.0
