umap_x,umap_y,tsne_x,tsne_y
-16.197693,-12.553986,-17.24874,-8.008993
-16.169321,-12.536985,-17.095322,-8.107065
-16.200592,-12.590436,-16.754711,-8.33909
0.3153599,-13.617675,13.803323,14.219452
0.30274,-13.597343,13.801989,14.22701
0.3274734,-13.626996,13.800129,14.2469845
0.33561695,-13.627935,13.795396,14.284101
0.27605525,-13.578391,13.787398,14.361785
0.32703403,-13.626094,13.766089,14.50824
0.24107465,-13.544183,13.730601,14.756759
0.1586117,-13.488794,13.657166,15.193232
-8.170662,7.6591,4.7579694,25.085283
-8.184165,7.665698,4.7627325,25.074198
-8.137841,7.626276,4.7731595,25.050621
-8.101902,7.5876355,4.7964873,25.000748
-8.194761,7.678742,4.8452888,24.903212
-8.115565,7.605268,4.9265428,24.76228
-8.170578,7.6528263,5.040141,24.563614
-8.113012,7.600355,5.227824,24.217192
14.810696,-2.7592642,-22.932604,-9.965575
14.767391,-2.6929495,-22.941065,-9.97123
14.769124,-2.7052982,-22.955862,-9.982393
14.714767,-2.6450849,-22.987112,-10.008226
14.816015,-2.757937,-23.051443,-10.064804
14.721388,-2.6457803,-23.159246,-10.17908
14.74064,-2.670863,-23.319197,-10.367923
14.51702,-2.4025753,-23.577122,-10.684813
12.378001,-17.567204,1.6583003,1.4999553
12.364657,-17.594082,1.6634142,1.5036713
12.418006,-17.545685,1.6739118,1.5121158
12.386534,-17.5701,1.695248,1.5279107
12.474525,-17.558744,1.7394422,1.5617881
12.458446,-17.502098,1.8283587,1.6367168
12.5102215,-17.533218,1.98199,1.7889693
12.61804,-17.499031,2.2298467,2.0603006
14.656923,-2.578199,-22.528315,-10.357571
14.699266,-2.6149392,-22.536581,-10.365662
14.6597,-2.572411,-22.551184,-10.379134
14.595401,-2.5030591,-22.58455,-10.410312
14.623836,-2.5375848,-22.664942,-10.484126
14.641635,-2.5502656,-22.806845,-10.603785
14.721096,-2.6295896,-23.001097,-10.762628
14.646845,-2.5420604,-23.317835,-11.015037
12.893276,-17.619364,1.3177277,1.8982917
12.872735,-17.609312,1.3226367,1.9022902
12.898626,-17.624275,1.3326625,1.9107991
12.91682,-17.630714,1.352857,1.9270487
12.930567,-17.64009,1.3972912,1.9632673
12.856712,-17.593702,1.4944763,2.0334563
12.813422,-17.560871,1.6905973,2.148236
12.745619,-17.503273,2.016532,2.31397
14.349563,-2.2105587,-21.959984,-11.155346
14.35647,-2.2171695,-21.966085,-11.158019
14.338195,-2.197787,-21.974583,-11.163075
14.32079,-2.1798422,-21.989147,-11.177586
14.380186,-2.2402625,-22.025152,-11.208366
14.371175,-2.2295246,-22.100473,-11.271787
14.355331,-2.214943,-22.255398,-11.408603
14.478734,-2.3520525,-22.529535,-11.653423
12.252364,-17.60313,5.708786,-4.49916
12.239544,-17.514307,5.70881,-4.4992247
12.25808,-17.47098,5.7090936,-4.499323
12.150441,-17.603662,5.7088795,-4.499317
12.337868,-17.53822,5.7090545,-4.4997416
12.216334,-17.618301,5.7081676,-4.499279
12.249432,-17.532295,5.707785,-4.499374
12.255202,-17.203367,5.7111125,-4.5030446
14.918325,-2.9425912,-26.95679,-6.697798
14.801529,-2.7801821,-26.955883,-6.698119
14.84592,-2.8447123,-26.95617,-6.698132
14.884152,-2.8926578,-26.955921,-6.6981425
14.847766,-2.8172867,-26.956434,-6.6981134
14.839863,-2.752575,-26.955618,-6.699112
14.702707,-2.6345992,-26.955442,-6.699283
15.031204,-2.9357126,-26.957525,-6.698459
11.846632,-17.004025,12.476792,-8.050618
11.891971,-17.090155,12.467364,-8.056911
11.894187,-17.047688,12.445031,-8.058013
11.805741,-16.945248,12.405446,-8.066542
11.816697,-16.939604,12.332179,-8.078612
11.798078,-16.972534,12.208684,-8.072121
11.956652,-16.867294,11.9051285,-7.838966
12.069237,-16.818142,10.08825,-9.2898655
15.222986,-3.7208154,-31.16583,-0.039207425
15.255666,-3.6728315,-31.161892,-0.04775678
15.346786,-3.761905,-31.155481,-0.065377936
15.224114,-3.7515652,-31.145355,-0.09628545
15.264579,-3.7119758,-31.11085,-0.16603196
15.360805,-3.6713789,-31.018858,-0.30387288
15.447467,-3.4880278,-30.687693,-1.3456228
15.512522,-3.2575066,-30.711824,-2.2476394
30.083538,8.201608,17.489376,-3.158371
30.169828,8.300658,17.477379,-3.163371
30.035503,8.218437,17.453226,-3.1729364
30.09232,8.249965,17.400984,-3.1936707
30.077131,8.201881,17.296257,-3.224945
30.027681,8.200753,17.114227,-3.2681627
30.03536,8.097277,16.801008,-3.3186352
29.987349,8.129583,16.212236,-3.3272798
11.65215,-16.72567,12.729807,-8.777635
11.669859,-16.743198,12.718638,-8.780551
11.670348,-16.678314,12.704167,-8.78458
11.644911,-16.731577,12.667161,-8.795743
11.713877,-16.708256,12.601682,-8.817181
11.679267,-16.727919,12.492687,-8.858774
11.776468,-16.750689,12.238822,-9.027612
12.043157,-16.705462,10.260667,-9.724808
15.234169,-3.6929746,-31.976927,-0.28180522
15.249843,-3.6406775,-31.975449,-0.2900941
15.249521,-3.6754398,-31.969929,-0.30541208
15.293502,-3.7135558,-31.964867,-0.34149903
15.259062,-3.6612878,-31.953709,-0.40801224
15.348191,-3.6317427,-31.938194,-0.55191845
15.457064,-3.3773386,-31.617805,-1.598874
15.515619,-3.2094715,-31.26423,-2.4439445
11.69775,-15.530704,12.9154005,-10.175168
11.677505,-15.5047035,12.909437,-10.178156
11.688048,-15.502682,12.89746,-10.184607
11.678508,-15.506402,12.874537,-10.198346
11.661549,-15.497646,12.830575,-10.234296
11.704143,-15.556675,12.745374,-10.352878
11.678262,-15.562815,12.483637,-10.749891
11.73038,-15.782731,10.795815,-10.706174
10.86241,3.299745,-33.6395,-1.113167
10.877638,3.3215024,-33.64065,-1.1210221
10.88716,3.3399289,-33.644585,-1.1364748
10.914881,3.3598208,-33.653534,-1.1680349
10.909992,3.38275,-33.681347,-1.2440968
10.939425,3.3732483,-33.75558,-1.4505237
10.81415,3.1996658,-33.763878,-1.9084116
10.901121,3.2795846,-33.326862,-2.6827068
30.645517,9.79567,22.081106,2.6376846
30.63059,9.82451,22.075224,2.625239
30.683434,9.877198,22.063177,2.5996716
30.602127,9.886492,22.036488,2.5446987
30.55447,9.967993,21.981382,2.4481199
30.560253,9.942726,21.886768,2.310638
30.603434,10.012833,21.732708,2.1075277
30.663498,9.770655,21.429611,1.7673681
29.760437,7.8095627,17.195122,-2.2412076
29.768291,7.8184037,17.170446,-2.2417777
29.790373,7.8436527,17.120352,-2.247096
29.792555,7.84282,17.03471,-2.2687144
29.868584,7.9374948,16.901573,-2.335889
29.780752,7.8348684,16.751532,-2.4498599
29.857328,7.915242,16.494362,-2.622857
29.89708,7.9489965,16.040754,-2.8959956
12.168538,-17.605356,11.400517,-8.156304
12.207656,-17.638947,11.397279,-8.165585
12.121726,-17.640139,11.377379,-8.189871
12.189749,-17.682205,11.356676,-8.22412
12.137921,-17.594007,11.296164,-8.283164
12.108437,-17.536045,11.127563,-8.392807
12.212047,-17.33585,10.75517,-8.61295
12.154032,-17.006916,10.119516,-9.200462
15.100006,-3.3139992,-30.706047,-0.723356
15.055262,-3.3243723,-30.716757,-0.7367336
15.151268,-3.1912704,-30.731955,-0.7622012
15.014101,-3.224489,-30.756012,-0.8119712
15.112338,-3.272435,-30.79164,-0.9146456
15.0900135,-3.3441715,-30.782696,-1.111691
15.279811,-3.214929,-30.71354,-1.5160384
15.425992,-3.165101,-30.703997,-2.2318401
29.812521,7.8757386,17.433609,-2.490534
29.844376,7.879689,17.4227,-2.4943073
29.852945,7.888668,17.39987,-2.5011868
29.85106,7.8895993,17.331875,-2.5226347
29.849493,7.8877873,17.088627,-2.5986733
29.83162,7.8638177,16.851645,-2.6749756
29.886446,7.949847,16.555923,-2.77032
29.873653,7.9246845,16.068579,-2.957497
12.036836,-17.617317,11.632074,-9.007751
12.035918,-17.45166,11.625853,-9.008812
12.057422,-17.684334,11.613211,-9.012018
12.135539,-17.53727,11.586619,-9.016743
12.133622,-17.551117,11.521816,-9.031142
12.18986,-17.499613,11.358441,-9.07217
12.134224,-17.296833,10.965806,-9.183801
12.14607,-16.896503,10.264437,-9.623535
14.912511,-3.412202,-31.737019,-1.0694358
14.91739,-3.4353247,-31.731472,-1.0760249
14.917074,-3.4360714,-31.71975,-1.0892273
14.884799,-3.529054,-31.695112,-1.1192343
14.945225,-3.4379375,-31.654102,-1.1863387
15.101435,-3.3004787,-31.57545,-1.3511769
15.20743,-3.275695,-31.448923,-1.7475519
15.415912,-3.1852996,-31.249113,-2.4337258
30.81875,9.560025,21.091225,3.126969
